expert_id,role,agency,experience,traditional_rating,ai_rating,perceived_improvement_pct
E01,Mission Director,NASA,5-10 years,7.608453028264034,7.990069357747153,5.015688840628748
E02,Flight Dynamics Officer,ESA,10-15 years,8.165360938694086,8.576331298994475,5.033094842787406
E03,Mission Director,ESA,5-10 years,7.235881502604169,7.6686447307926935,5.980794849014242
E04,Resource Planning Specialist,JAXA,15+ years,7.440638108203571,7.9247372321351675,6.506150640465358
E05,Flight Dynamics Officer,JAXA,5-10 years,7.786730359823569,8.358369756706514,7.341199328441849
E06,Resource Planning Specialist,ESA,5-10 years,7.826084009000985,8.217829573242827,5.005639650574744
E07,Science Operations Planner,ESA,10-15 years,6.833770235709742,7.212631576444687,5.543957839776524
E08,Science Operations Planner,NASA,15+ years,8.248524941220476,8.78718076887066,6.530329137496481
E09,Resource Planning Specialist,NASA,10-15 years,7.622969175919048,8.13233447325207,6.68198028324852
E10,Flight Dynamics Officer,ESA,10-15 years,7.704291288104962,8.094806284252133,5.068798433804118
E11,Resource Planning Specialist,NASA,15+ years,6.6541165582686626,6.998510527415626,5.175652787731926
E12,Science Operations Planner,ESA,10-15 years,7.915361869481831,8.498395147588043,7.365844894017204
E13,Resource Planning Specialist,NASA,10-15 years,7.156385507218623,7.607385079637722,6.302058098521626
E14,Flight Dynamics Officer,JAXA,5-10 years,7.696450588127478,8.25113296178135,7.2069893427175815
E15,Resource Planning Specialist,NASA,10-15 years,7.785130399070383,8.272771049781369,6.263744159882218
E16,Risk Assessment Engineer,JAXA,15+ years,7.871822542099728,8.499472810847168,7.973379295463907
E17,Risk Assessment Engineer,JAXA,15+ years,7.643744542454373,8.160714534906463,6.763308082586615
E18,Mission Director,NASA,10-15 years,7.169022577483864,7.533107850205721,5.078590125596188
E19,Mission Director,ESA,10-15 years,7.672958184377414,8.217202020139183,7.093011882560246
E20,Resource Planning Specialist,NASA,15+ years,8.381358490230681,8.865624187484483,5.777890276597314
E21,Flight Dynamics Officer,JAXA,5-10 years,8.183867133583618,8.638751368573562,5.558304253538821
E22,Mission Director,NASA,10-15 years,8.374706588431728,8.970822978904573,7.118057022992086
E23,Flight Dynamics Officer,ESA,15+ years,8.30782666052075,8.94986967600629,7.728170576025193
E24,Mission Director,ESA,5-10 years,6.817816335338707,7.283519241875937,6.830675448432926
E25,Risk Assessment Engineer,NASA,15+ years,8.345246116175579,8.880692237136838,6.416181302590999
E26,Science Operations Planner,ESA,10-15 years,7.0643741493864,7.4730564628636635,5.785117051207727
E27,Resource Planning Specialist,JAXA,10-15 years,6.999092399699013,7.406149057521377,5.815849178385892
E28,Flight Dynamics Officer,NASA,5-10 years,7.036278040191027,7.421102317886861,5.469145413210346
