ISO,Country,AI preparedness Index,GDP per capita (current US$),GDP per capita growth (annual %),Real GDP growth (Annual change in %),Innovation and Economic Integration,Digitial Infrastructure,Individuals using the Internet (% of population),Secure Internet servers (per 1 million people),Regulation and Ethics,Human Capital and Labor Market Policies
AUS,Australia,0.73,64821,0.94,2,0.16,0.18,97.1,47568,0.21,0.17
AUT,Austria,0.72,56034,-1.93,-0.8,0.17,0.19,95.3,42281,0.20,0.16
BEL,Belgium,0.67,54701,0.33,1.4,0.17,0.17,94.6,33643,0.16,0.16
CAN,Canada,0.71,53431,-1.68,1.2,0.16,0.17,94,42550,0.21,0.17
HRV,Croatia,0.58,21865,3.19,3.1,0.14,0.17,83.2,29422,0.14,0.13
CYP,Cyprus,0.63,36551,1.02,2.5,0.15,0.17,91.2,557174,0.16,0.14
CZE,Czechia,0.65,31591,-1.85,-0.1,0.16,0.17,86,80152,0.16,0.16
DNK,Denmark,0.78,68454,1.74,2.5,0.18,0.20,98.8,261262,0.22,0.18
EST,Estonia,0.76,30133,-4.54,-3,0.16,0.20,93.2,112224,0.22,0.18
FIN,Finland,0.76,52926,-1.66,-1.2,0.17,0.19,93.5,153868,0.23,0.17
FRA,France,0.70,44691,0.61,1.1,0.17,0.18,86.8,52083,0.18,0.16
DEU,Germany,0.75,54343,0.35,-0.3,0.18,0.19,92.5,139985,0.20,0.18
GRC,Greece,0.58,23401,2.64,2,0.15,0.15,85,14230,0.14,0.14
HKG,Hong Kong,0.70,50532,0.67,3.3,0.17,0.20,96,131227,0.17,0.16
ISL,Iceland,0.70,79637,2.01,5,0.15,0.17,99.8,85403,0.21,0.17
IRL,Ireland,0.69,103888,-8.06,-5.5,0.16,0.17,96.5,150045,0.19,0.17
ISR,Israel,0.73,52642,0.33,2,0.19,0.17,87,13047,0.19,0.17
ITA,Italy,0.62,39003,0.73,0.7,0.16,0.17,87,30239,0.15,0.13
JPN,Japan,0.73,33767,2.18,1.7,0.18,0.18,87,31702,0.20,0.17
KOR,Korea,0.73,33121,1.28,1.4,0.18,0.18,97.4,9728,0.20,0.16
LVA,Latvia,0.63,22503,1.81,-0.3,0.15,0.16,92.2,26170,0.16,0.16
LTU,Lithuania,0.66,27786,-1.05,-0.3,0.15,0.18,88.5,96900,0.17,0.17
LUX,Luxembourg,0.74,128678,-3.07,-1.1,0.15,0.19,99.3,60480,0.22,0.17
MAC,Macao,NA,67477,74.67,NA,NA,0.16,89.2,5760,0.14,0.09
MLT,Malta,0.66,40396,3.37,7.5,0.15,0.17,92.1,4823,0.19,0.15
NLD,Netherlands,0.77,64572,-0.91,0.1,0.18,0.19,97,194963,0.22,0.17
NZL,New Zealand,0.75,48281,-1.31,0.6,0.16,0.19,96.2,18910,0.22,0.18
NOR,Norway,0.71,87925,-0.66,0.5,0.16,0.17,99,37715,0.21,0.17
PRT,Portugal,0.65,27331,1.13,2.3,0.16,0.16,85.8,28927,0.18,0.15
PRI,Puerto Rico,NA,36779,1.02,0.6,NA,0.08,NA,464,0.14,0.14
SGP,Singapore,0.80,84734,-3.72,1.1,0.18,0.21,94.3,228648,0.22,0.20
SVK,Slovakia,0.59,24491,1.47,1.4,0.14,0.17,87.2,39912,0.14,0.15
SVN,Slovenia,0.63,32610,1.71,2.1,0.14,0.16,90.4,63979,0.18,0.15
ESP,Spain,0.65,33509,1.43,2.7,0.16,0.17,95.4,28737,0.17,0.15
SWE,Sweden,0.75,55517,-0.78,-0.2,0.18,0.18,95.7,52996,0.21,0.17
CHE,Switzerland,0.76,99565,-0.54,0.7,0.17,0.19,97.3,163635,0.21,0.19
TWN,"Taiwan, China",NA,NA,NA,NA,0.13,NA,NA,NA,0.18,0.20
GBR,United Kingdom,0.73,49464,-0.48,0.3,0.16,0.18,96.3,47453,0.21,0.17
USA,United States,0.77,82769,2.38,2.9,0.18,0.19,93.1,187747,0.22,0.18
ALB,Albania,0.53,8575,5.14,3.5,0.13,0.11,83.1,1220,0.15,0.14
DZA,Algeria,0.37,5364,2.55,4.1,0.07,0.08,76.9,100,0.07,0.14
AGO,Angola,0.26,2308,-2.06,1,0.09,0.06,44.8,40,0.05,0.07
ARG,Argentina,0.47,14187,-1.89,-1.6,0.09,0.13,89.2,5451,0.14,0.12
ARM,Armenia,0.49,8053,7.51,8.3,0.12,0.12,80,1167,0.13,0.12
AZE,Azerbaijan,0.47,7126,1,1.1,0.10,0.11,89,550,0.11,0.15
BHS,Bahamas,0.46,35897,2.15,2.6,0.08,0.11,94.8,6434,0.15,0.12
BHR,Bahrain,0.52,29219,-0.44,3,0.14,0.12,100,5578,0.10,0.15
BRB,Barbados,0.50,23804,4.09,4.1,0.12,0.10,80,1059,0.16,0.13
BLR,Belarus,0.47,7829,4.45,3.9,0.11,0.15,91.5,11947,0.08,0.14
